lat,lon,n,year,month,day,ozone,ozone_max,hour_max,aqi,pressure,humidity,temp,windsp,winddir
33.83062,-117.93845,24,2001,12,23,0.014083,0.023,9,19,29.995833,39.958333,53.375,2.233333,137.291667
33.83062,-117.93845,24,2001,12,24,0.013083,0.022,7,19,30.008333,37.541667,58.541667,2.995833,108.25
33.83062,-117.93845,24,2001,12,25,0.012792,0.024,8,20,29.979167,44.166667,55.75,1.845833,123.333333
33.83062,-117.93845,24,2001,12,26,0.007708,0.01,8,8,29.854167,53.291667,55.416667,2.2125,121.666667
33.83062,-117.93845,24,2001,12,27,0.008167,0.011,9,9,29.8,58,55.625,2.275,129.583333
33.83062,-117.93845,24,2001,12,28,0.008,0.01,7,8,29.804167,85.166667,56,1.804167,164.958333
33.83062,-117.93845,24,2001,12,29,0.008958,0.012,14,10,29.8625,85.708333,55.583333,2.345833,81.333333
33.83062,-117.93845,24,2001,12,30,0.013208,0.02,9,17,29.891667,59,57.333333,2.595833,146.625
33.83062,-117.93845,19,2001,12,31,0.011211,0.017,10,14,29.895833,27.958333,56.708333,2.0625,199.125
33.83062,-117.93845,24,2002,1,1,0.010583,0.015,10,13,29.9,39.458333,57.041667,2.1,175.166667
33.83062,-117.93845,24,2002,1,2,0.009083,0.013,8,11,29.895833,92.458333,57.083333,2.670833,175.833333
33.83062,-117.93845,24,2002,1,3,0.009667,0.015,9,13,29.9125,42.958333,57.375,2.204167,192
33.83062,-117.93845,24,2002,1,4,0.008083,0.011,9,9,29.983333,30.458333,55.125,2.345833,136.25
33.83062,-117.93845,24,2002,1,5,0.01,0.016,8,14,30.1,57.875,57.416667,2.025,94.333333
33.83062,-117.93845,24,2002,1,6,0.009917,0.016,8,14,30.075,50.541667,59.291667,2.241667,154.625
33.83062,-117.93845,24,2002,1,7,0.008,0.01,8,8,29.975,64.125,60.625,1.666667,158.083333
33.83062,-117.93845,24,2002,1,8,0.008458,0.011,7,9,29.829167,65.166667,59.333333,1.916667,132
33.83062,-117.93845,24,2002,1,9,0.015333,0.025,10,21,29.791667,59.458333,57.708333,3.066667,158.25
33.83062,-117.93845,24,2002,1,10,0.012583,0.017,9,14,29.8875,57.083333,60.791667,2.0625,187.833333
33.83062,-117.93845,24,2002,1,11,0.015208,0.021,8,18,30.004167,34.791667,64.083333,2.341667,199.208333
33.83062,-117.93845,24,2002,1,12,0.015333,0.022,8,19,29.9,40,60.708333,2.3875,122.625
33.83062,-117.93845,24,2002,1,13,0.017875,0.029,9,25,29.720833,67.5,55.416667,2.058333,145.75
33.83062,-117.93845,24,2002,1,14,0.031375,0.045,12,38,29.704167,86.833333,54.125,3.6375,139.291667
33.83062,-117.93845,24,2002,1,15,0.028042,0.038,9,32,29.733333,78.625,56.833333,4.091667,137.458333
33.83062,-117.93845,24,2002,1,16,0.00675,0.022,3,19,13.670833,36,25.5,0.975,44.791667
33.83062,-117.93845,24,2002,1,17,0.010458,0.023,14,19,12.458333,29,22.583333,1.266667,76.125
33.83062,-117.93845,24,2002,1,18,0.017042,0.026,9,22,29.933333,60.291667,53.5,2.970833,120.416667
33.83062,-117.93845,24,2002,1,19,0.016333,0.023,9,19,29.854167,42.041667,54,2.775,107.291667
33.83062,-117.93845,24,2002,1,20,0.020875,0.037,9,31,29.8875,49.208333,53.958333,2.9375,111.041667
33.83062,-117.93845,24,2002,1,21,0.017667,0.028,9,24,29.833333,47.166667,54.875,3.508333,120.333333
33.83062,-117.93845,24,2002,1,22,0.008917,0.016,13,14,29.783333,57.125,53.291667,3.179167,160.875
33.83062,-117.93845,24,2002,1,23,0.014958,0.024,16,20,29.933333,25.041667,53.666667,4.416667,123.625
33.83062,-117.93845,24,2002,1,24,0.004625,0.013,9,11,30.1,24,55.25,2.554167,174.791667
33.83062,-117.93845,24,2002,1,25,0.001625,0.005,9,4,29.875,38.125,57.416667,2.316667,190.458333
33.83062,-117.93845,24,2002,1,26,0.009333,0.023,10,19,29.7375,66.833333,53.75,2.533333,130.125
33.83062,-117.93845,24,2002,1,27,0.017583,0.027,10,23,29.7375,60.666667,52.458333,4.775,149
33.83062,-117.93845,24,2002,1,28,0.013208,0.025,10,21,29.808333,62.041667,50.458333,3.1,246.333333
33.83062,-117.93845,24,2002,1,29,0.009458,0.023,10,19,29.8,52.291667,47.083333,3.4625,134.791667
33.83062,-117.93845,24,2002,1,30,0.009458,0.026,10,22,29.8875,50.25,46.791667,2.816667,117.333333
33.83062,-117.93845,24,2002,1,31,0.005917,0.017,10,14,30.045833,41.333333,49.5,2.6375,145.083333
33.83062,-117.93845,24,2002,2,1,0.00475,0.014,8,12,29.941667,36.5,53.208333,3.35,109.541667
33.83062,-117.93845,24,2002,2,2,0.004083,0.012,9,10,29.883333,58.208333,52.291667,2.458333,150.875
33.83062,-117.93845,24,2002,2,3,0.006083,0.018,9,15,29.970833,49.5,55.333333,3.033333,117.833333
33.83062,-117.93845,24,2002,2,4,0.005625,0.017,9,14,29.920833,29.333333,59.708333,2.245833,177.541667
33.83062,-117.93845,24,2002,2,5,0.005708,0.017,9,14,29.9125,48.458333,56.208333,2.4625,142.291667
33.83062,-117.93845,24,2002,2,6,0.008083,0.022,9,19,29.95,59.166667,54.875,2.8875,143
33.83062,-117.93845,24,2002,2,7,0.008167,0.023,10,19,29.991667,71.333333,53.375,2.6,167.625
33.83062,-117.93845,24,2002,2,8,0.006917,0.02,10,17,29.958333,78.583333,56.541667,2.745833,130.333333
33.83062,-117.93845,24,2002,2,9,0.027167,0.036,23,31,29.991667,24.625,63.333333,8.95,127.083333
33.83062,-117.93845,24,2002,2,10,0.029708,0.036,0,31,30.1125,7,67.875,11.0125,88.833333
33.83062,-117.93845,24,2002,2,11,0.012833,0.03,8,25,30.004167,15.125,66.25,3.754167,121.833333
33.83062,-117.93845,24,2002,2,12,0.007,0.02,10,17,29.795833,36.333333,60.125,2.345833,144.666667
33.83062,-117.93845,24,2002,2,13,0.006958,0.02,11,17,29.8,57.708333,57.583333,2.35,148.708333
33.83062,-117.93845,24,2002,2,14,0.017667,0.039,10,33,29.85,82.583333,56.958333,2.704167,162.208333
33.83062,-117.93845,24,2002,2,15,0.020417,0.031,11,26,29.9,59.833333,58.541667,2.670833,173.75
33.83062,-117.93845,24,2002,2,16,0.030708,0.037,10,31,29.866667,80.583333,56.375,3.5125,185.333333
33.83062,-117.93845,24,2002,2,17,0.021042,0.031,10,26,29.754167,70.25,53.75,4.079167,205.958333
33.83062,-117.93845,24,2002,2,18,0.011042,0.03,10,25,29.804167,55.333333,52.375,3.0625,146.75
33.83062,-117.93845,24,2002,2,19,0.012375,0.032,10,27,29.975,77.666667,54,3.0375,158
33.83062,-117.93845,24,2002,2,20,0.008208,0.024,10,20,29.983333,75.666667,56.958333,2.483333,143.458333
33.83062,-117.93845,24,2002,2,21,0.01,0.029,9,25,24.991667,19,58.75,3.625,58.25
33.83062,-117.93845,24,2002,2,22,0.005208,0.015,12,13,12.420833,7.333333,31.083333,1.125,81.041667
33.83062,-117.93845,24,2002,2,23,0.019875,0.039,10,33,29.766667,72.041667,61.166667,3.541667,172.875
33.83062,-117.93845,24,2002,2,24,0.021042,0.04,10,34,29.825,74.916667,61.166667,2.708333,206.416667
33.83062,-117.93845,24,2002,2,25,0.0145,0.038,10,32,29.920833,59.25,60.958333,2.308333,198.791667
33.83062,-117.93845,24,2002,2,26,0.00925,0.025,9,21,29.875,21.083333,67.333333,2.795833,194.458333
33.83062,-117.93845,24,2002,2,27,0.017667,0.038,10,32,29.720833,52.75,63,2.891667,180.833333
33.83062,-117.93845,24,2002,2,28,0.035375,0.045,12,38,29.6625,61.583333,56.625,3.8375,172.208333
33.83062,-117.93845,24,2002,3,1,0.021958,0.036,0,31,29.704167,63.375,61,3.720833,177.333333
33.83062,-117.93845,24,2002,3,2,0.020542,0.036,9,31,29.908333,29.208333,60.125,6.004167,85.125
33.83062,-117.93845,24,2002,3,3,0.015583,0.039,10,33,30.0375,17.25,60.916667,3.045833,97.333333
33.83062,-117.93845,24,2002,3,4,0.012292,0.03,9,25,29.95,22.166667,62.5,3.895833,133.75
33.83062,-117.93845,24,2002,3,5,0.01725,0.04,10,34,29.9125,63.041667,58.5,3.2125,161.958333
33.83062,-117.93845,24,2002,3,6,0.016917,0.031,10,26,29.858333,82,57,3.466667,162.5
33.83062,-117.93845,24,2002,3,7,0.016542,0.022,20,19,29.729167,89.166667,58.333333,4.695833,209.666667
33.83062,-117.93845,24,2002,3,8,0.015542,0.029,9,25,29.833333,67.25,56.166667,3.8375,177.833333
33.83062,-117.93845,24,2002,3,9,0.009917,0.027,10,23,29.954167,62.083333,59.958333,2.920833,155.458333
33.83062,-117.93845,24,2002,3,10,0.012083,0.03,10,25,29.916667,62.5,61.083333,3.183333,168.958333
33.83062,-117.93845,24,2002,3,11,0.0105,0.025,10,21,29.9125,70.75,61.75,3,156.916667
33.83062,-117.93845,24,2002,3,12,0.02025,0.032,10,27,29.829167,58.25,60.125,3.2,191.666667
33.83062,-117.93845,24,2002,3,13,0.021292,0.028,10,24,29.766667,52.625,60.583333,5.3875,251.333333
33.83062,-117.93845,24,2002,3,14,0.012458,0.032,9,27,29.741667,29.25,56.541667,2.341667,187.458333
33.83062,-117.93845,24,2002,3,15,0.019875,0.036,11,31,29.741667,53.083333,53.75,4.4125,168.333333
33.83062,-117.93845,24,2002,3,16,0.021208,0.041,10,35,29.841667,66.375,51.791667,4.1125,211.666667
33.83062,-117.93845,24,2002,3,17,0.026625,0.037,10,31,29.808333,71.125,51.541667,5.233333,170.875
33.83062,-117.93845,24,2002,3,18,0.013417,0.034,9,29,29.7625,60.333333,54.333333,3.108333,193.916667
33.83062,-117.93845,24,2002,3,19,0.013167,0.037,10,31,29.954167,46.625,57.916667,2.808333,152.041667
33.83062,-117.93845,24,2002,3,20,0.009958,0.027,10,23,29.858333,39.625,63.208333,2.954167,172.708333
33.83062,-117.93845,24,2002,3,21,0.011333,0.03,11,25,29.754167,52.333333,62.666667,2.704167,210.833333
33.83062,-117.93845,24,2002,3,22,0.02225,0.038,10,32,29.779167,68.666667,58.041667,3.6125,208.541667
33.83062,-117.93845,24,2002,3,23,0.026167,0.032,9,27,29.779167,86.541667,57.791667,4.891667,230.5
33.83062,-117.93845,24,2002,3,24,0.023958,0.036,9,31,29.7375,79.916667,56.333333,4.483333,191.291667
33.83062,-117.93845,24,2002,3,25,0.014875,0.035,9,30,29.779167,68.291667,57.791667,3.141667,171.416667
33.83062,-117.93845,24,2002,3,26,0.017083,0.039,10,33,29.725,67.458333,59.916667,2.783333,197.541667
33.83062,-117.93845,24,2002,3,27,0.031125,0.041,10,35,29.75,79.708333,56.458333,3.283333,188.5
33.83062,-117.93845,24,2002,3,28,0.027792,0.037,9,31,29.733333,77.041667,56.75,3.570833,216.25
33.83062,-117.93845,24,2002,3,29,0.024542,0.046,9,39,27.3375,79.416667,51.875,2.816667,186.583333
